DB Name,SBB Name,StationName,Country,Region,lat,lon,RealDistance,2035alter,2035,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014 Q3/4,2014 Q1/2,2013,2012,2011,2009,2008,2005,2002,1982,MinimumTransferTime,2035_pop,2026_pop,2025_pop,2024_pop,2023_pop,2022_pop,2021_pop,2020_pop,2019_pop,2018_pop,2017_pop,2016_pop,2015_pop,2014 Q3/4_pop,2014 Q1/2_pop,2013_pop,2012_pop,2011_pop,2009_pop,2008_pop,2005_pop,2002_pop,1982_pop,SBB_pf_match_name,SBB_pf_match_method,SBB_pf_latest_year,SBB_pf_latest_dtv,SBB_pf_latest_dwv,SBB_pf_latest_dnwv,SBB_pf_latest_evu,SBB_pf_latest_isb_gi,SBB_dtv_2018,SBB_dwv_2018,SBB_dnwv_2018,SBB_dtv_2022,SBB_dwv_2022,SBB_dnwv_2022,SBB_dtv_2023,SBB_dwv_2023,SBB_dnwv_2023,SBB_dtv_2024,SBB_dwv_2024,SBB_dnwv_2024,SBB_dtv_2025,SBB_dwv_2025,SBB_dnwv_2025
,,Zürich HB,CH,ZH,47.378757,8.536602,0.0,12,204,160,160,154,160,156,158,152,152,150,150,150,136,136,128,128,128,126,126,124,118,106,66,7,232853,247877,245654,242584,241105,234596,233657,227951,225875,228410,225913,223454,230382,227229,225423,222178,223563,221608,215067,210714,200949,187197,186279,Zürich HB,exact,2025,449800.0,480900.0,380600.0,"SBB, SOB, SZU, Thurbo",SBB,423600.0,471300.0,317500.0,345300.0,360900.0,308700.0,398300.0,419600.0,349700.0,410700.0,438300.0,349500.0,449800.0,480900.0,380600.0
,,Zürich Oerlikon,CH,ZH,47.411962,8.544384,4.0,12,124,84,84,80,84,84,84,84,84,80,80,80,66,66,62,62,58,56,56,56,56,52,30,2,146611,130135,128968,126018,126580,126321,124222,125973,124825,121818,120487,119175,111803,110273,109189,107618,101302,98493,95586,95161,95365,91833,84672,Zürich Oerlikon,exact,2025,86200.0,99900.0,55700.0,"SBB, SOB",SBB,80000.0,94700.0,47400.0,73900.0,84000.0,50300.0,82200.0,94200.0,54900.0,84600.0,98100.0,54400.0,86200.0,99900.0,55700.0
,,Winterthur,CH,ZH,47.500549,8.723594,19.0,12,80,66,66,62,62,58,62,54,54,48,48,48,46,46,46,46,46,46,46,46,44,38,16,5,131591,122666,121566,120393,119315,117417,116279,115444,114393,113032,111797,110580,108979,107487,107487,105940,104680,103477,100423,99043,94574,92249,83803,Winterthur,exact,2025,103800.0,116400.0,75800.0,"SBB, Thurbo",SBB,95100.0,109300.0,63600.0,84900.0,93700.0,64200.0,99100.0,110900.0,72100.0,101800.0,114300.0,74000.0,103800.0,116400.0,75800.0
,,Zürich Altstetten,CH,ZH,47.391779,8.48897,5.0,0,68,44,44,44,44,44,44,44,44,40,40,40,32,32,32,32,32,32,32,32,28,28,8,2,73306,68166,67555,69310,66304,66168,65069,65986,65385,60909,60244,59588,54208,53466,56356,55545,55891,56281,54620,54378,47683,49448,22579,Zürich Altstetten,exact,2025,40500.0,48700.0,22400.0,"SBB, SOB",SBB,37200.0,46500.0,16400.0,32000.0,37600.0,18700.0,37800.0,44600.0,22100.0,39700.0,47600.0,22200.0,40500.0,48700.0,22400.0
,,Bern,CH,BE,46.94883229051,7.43913088992,56.0,12,60,64,60,60,60,48,48,48,48,46,46,46,46,46,46,46,44,42,42,42,50,42,30,6,142875,130762,129645,137978,136988,135430,134913,134354,133883,133304,132808,132213,131050,130012,130012,128963,127847,126873,125486,113993,114143,111676,118284,Bern,exact,2025,177000.0,191700.0,144300.0,"BLS, SBB, SOB, TPF",SBB,184000.0,206400.0,134100.0,155200.0,164800.0,132800.0,175400.0,189200.0,143800.0,177800.0,193100.0,143700.0,177000.0,191700.0,144300.0
,,Olten,CH,SO,47.35193475928,7.90769964791,30.0,0,48,50,50,50,50,46,46,46,46,46,46,46,50,50,50,50,50,50,50,50,54,34,28,5,20086,19106,18976,18907,18715,18426,18284,18103,17958,17824,17709,17580,17382,17206,17206,17057,16917,16767,16490,16431,16177,16068,14220,Olten,exact,2025,81600.0,86700.0,70500.0,"BLS, SBB, SOB",SBB,74100.0,83000.0,54400.0,68100.0,71800.0,59600.0,76900.0,80900.0,67600.0,78900.0,84500.0,66200.0,81600.0,86700.0,70500.0
,,Zürich Flughafen,CH,ZH,47.450387,8.562259,9.0,12,44,50,50,46,46,42,46,38,38,40,40,40,34,34,34,34,34,34,34,34,36,30,18,2,23444,21854,21658,21449,21257,20919,20716,20567,20380,20138,19918,19701,19416,19150,19150,18874,18650,18435,17891,17645,16849,16435,14930,Zürich Flughafen,exact,2025,53300.0,55500.0,48300.0,"SBB, Thurbo",SBB,50500.0,52500.0,46100.0,35000.0,35500.0,34000.0,48500.0,50000.0,45100.0,51100.0,52900.0,47100.0,53300.0,55500.0,48300.0
,,Zug,CH,ZG,47.174678,8.515743,21.0,0,44,28,28,28,32,32,32,28,28,28,28,28,28,28,22,22,22,22,22,22,22,22,16,4,35205,32901,32604,32281,31995,31659,31327,31087,30809,30615,30273,29917,29479,28986,28986,28510,28138,27783,26765,26643,25705,24718,18630,Zug,exact,2025,42100.0,47200.0,30700.0,"SBB, SOB",SBB,39600.0,46500.0,24500.0,36000.0,40000.0,26700.0,41200.0,45800.0,30700.0,41600.0,46900.0,29700.0,42100.0,47200.0,30700.0
,,Genève,CH,GE,46.21021289877,6.14245159514,163.0,4,40,28,24,28,28,28,28,28,28,28,24,24,28,28,28,28,24,24,24,24,24,24,10,6,191428,134512,125862,133173,160716,157561,156130,155179,198643,196812,195145,192889,191002,188106,188106,184972,182477,181466,178612,175781,169686,165000,140199,Genève,exact,2025,83100.0,92900.0,61400.0,SBB,SBB,60500.0,70700.0,37700.0,66900.0,74100.0,50000.0,79500.0,88500.0,59000.0,80600.0,89800.0,60100.0,83100.0,92900.0,61400.0
,,Baden,CH,AG,47.47642428463,8.30770947404,14.0,0,40,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26,26,26,26,28,22,5,17597,17061,16880,16713,16511,16155,15970,15765,15579,15405,15241,15070,14848,14657,14657,14454,14250,13727,13322,13135,12641,12625,12603,Baden,exact,2025,34000.0,38500.0,23900.0,SBB,SBB,32100.0,37600.0,19900.0,27200.0,30100.0,20200.0,32700.0,35700.0,25900.0,33000.0,37200.0,23500.0,34000.0,38500.0,23900.0
