IC 1,an/ab,2035alter,2035,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014 Q3/4,2014 Q1/2,2013,2012,2011,2009,2008,2005,2002,1982
Genève-Aéroport,ab,8,8,25,22,32,32,32,32,32,32,32,32,33,36,36,36,36,36,36,36,36,36,21,—
Genève,an,15,15,32,28,39,39,39,39,39,39,39,39,39,43,43,43,43,43,42,42,42,42,27,—
Genève,ab,17,17,35,31,42,42,42,42,42,42,42,42,42,45,45,45,45,45,45,45,45,45,30,57
Renens VD,an,—,—,7,7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Renens VD,ab,—,—,8,8,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lausanne,an,52,52,14,14,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,4,30
Lausanne,ab,55,55,17,17,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6,32
Fribourg/Freiburg,an,34,34,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,50,15
Fribourg/Freiburg,ab,36,36,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,51,16
Bern,an,56,56,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,13,38
Bern,ab,4,4,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,30,17,41
Zürich HB,an,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26Q,54Q
Zürich HB,ab,3,3,37,39,39,39,39,39,33,33,33,33,33,39,39,39,39,39,39,39,39,39,40,4
Zürich Oerlikon,an,8,8,42,45,45,45,45,45,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Oerlikon,ab,9,9,44,45,46,46,46,46,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zürich Flughafen,an,14,14,49,51,51,51,51,51,42,42,42,42,42,50,50,50,50,50,50,50,50,50,50,14
Zürich Flughafen,ab,16,16,51,53,53,53,53,53,44,44,44,44,44,52,52,52,52,52,52,52,52,52,52,16
Winterthur,an,26,26,6,6,6,6,6,6,57,57,57,57,57,5,5,5,5,5,5,5,5,5,5,29
Winterthur,ab,28,28,8,8,8,8,8,8,59,59,59,59,59,7,7,7,7,7,7,7,7,7,7,31
Wil SG,an,—,—,25,25,25,25,25,25,—,—,—,—,—,24,24,24,24,24,24,24,24,24,23,50
Wil SG,ab,—,—,26,26,26,26,26,26,—,—,—,—,—,25,25,25,25,25,25,25,25,25,25,51
Uzwil,an,—,—,33,33,33,33,33,33,—,—,—,—,—,32,32,32,32,32,32,32,32,33,32,—
