code,name,canton,fromValue,fromWeight,toValue,toWeight,deltaMin,deltaLabel,window,fromYear,toYear,level,metric,weightMode
CH,Switzerland,CH,51.59914295208772,691687.9034080931,43.69576075982934,774678.521178201,-7.903382192258377,-7 min 54 s,1982-2002,1982,2002,national,avgTotalMin,weighted
CH,Switzerland,CH,43.69576075982934,774678.521178201,41.66699732114153,792716.7802216841,-2.028763438687811,-2 min 2 s,Bahn 2000,2002,2005,national,avgTotalMin,weighted
CH,Switzerland,CH,41.66699732114153,792716.7802216841,41.13456752659191,827327.3009810151,-0.5324297945496212,-32 s,2005-2009,2005,2009,national,avgTotalMin,weighted
CH,Switzerland,CH,40.80307206437565,845565.5875109965,40.40445445368849,879043.8549301851,-0.39861761068716106,-24 s,2011-2014,2011,2014 Q1/2,national,avgTotalMin,weighted
CH,Switzerland,CH,40.40445445368849,879043.8549301851,40.66877793750125,900628.7989150693,0.2643234838127597,+16 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,national,avgTotalMin,weighted
CH,Switzerland,CH,40.66877793750125,900628.7989150693,40.05372494859984,931227.6250278157,-0.6150529889014038,-37 s,NEAT Base Tunnels,2016,2021,national,avgTotalMin,weighted
CH,Switzerland,CH,40.05372494859984,931227.6250278157,39.13109866007386,972525.2026779198,-0.9226262885259828,-55 s,2021-2026,2021,2026,national,avgTotalMin,weighted
CH,Switzerland,CH,39.13109866007386,972525.2026779198,36.99926327975684,1032425.0522794605,-2.131835380317021,-2 min 8 s,STEP 2035 Planning Horizon,2026,2035,national,avgTotalMin,weighted
CH,Switzerland,CH,41.430858900789715,691687.9034080931,36.41870376543856,774678.521178201,-5.012155135351158,-5 min 1 s,1982-2002,1982,2002,national,avgRollingMin,weighted
CH,Switzerland,CH,36.41870376543856,774678.521178201,34.970215791167895,792716.7802216841,-1.4484879742706624,-1 min 27 s,Bahn 2000,2002,2005,national,avgRollingMin,weighted
CH,Switzerland,CH,34.970215791167895,792716.7802216841,34.7266574988953,827327.3009810151,-0.24355829227259562,-15 s,2005-2009,2005,2009,national,avgRollingMin,weighted
CH,Switzerland,CH,34.40333237344938,845565.5875109965,34.03143373425104,879043.8549301851,-0.3718986391983421,-22 s,2011-2014,2011,2014 Q1/2,national,avgRollingMin,weighted
CH,Switzerland,CH,34.03143373425104,879043.8549301851,34.60966239879104,900628.7989150693,0.5782286645399992,+35 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,national,avgRollingMin,weighted
CH,Switzerland,CH,34.60966239879104,900628.7989150693,34.293443933079054,931227.6250278157,-0.31621846571198375,-19 s,NEAT Base Tunnels,2016,2021,national,avgRollingMin,weighted
CH,Switzerland,CH,34.293443933079054,931227.6250278157,33.83978836317958,972525.2026779198,-0.45365556989947464,-27 s,2021-2026,2021,2026,national,avgRollingMin,weighted
CH,Switzerland,CH,33.83978836317958,972525.2026779198,31.622689916137023,1032425.0522794605,-2.217098447042556,-2 min 13 s,STEP 2035 Planning Horizon,2026,2035,national,avgRollingMin,weighted
CH,Switzerland,CH,7.5013925984547445,691687.9034080931,5.013418196379808,774678.521178201,-2.4879744020749364,-2 min 29 s,1982-2002,1982,2002,national,avgTransferMin,weighted
CH,Switzerland,CH,5.013418196379808,774678.521178201,4.64461017909087,792716.7802216841,-0.36880801728893786,-22 s,Bahn 2000,2002,2005,national,avgTransferMin,weighted
CH,Switzerland,CH,4.64461017909087,792716.7802216841,4.495147895338949,827327.3009810151,-0.14946228375192128,-9 s,2005-2009,2005,2009,national,avgTransferMin,weighted
CH,Switzerland,CH,4.506541178796908,845565.5875109965,4.506841532467206,879043.8549301851,0.0003003536702976817,+0 s,2011-2014,2011,2014 Q1/2,national,avgTransferMin,weighted
CH,Switzerland,CH,4.506841532467206,879043.8549301851,4.246387977234741,900628.7989150693,-0.2604535552324654,-16 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,national,avgTransferMin,weighted
CH,Switzerland,CH,4.246387977234741,900628.7989150693,4.201530323592543,931227.6250278157,-0.044857653642197626,-3 s,NEAT Base Tunnels,2016,2021,national,avgTransferMin,weighted
CH,Switzerland,CH,4.201530323592543,931227.6250278157,3.9374943334115593,972525.2026779198,-0.26403599018098367,-16 s,2021-2026,2021,2026,national,avgTransferMin,weighted
CH,Switzerland,CH,3.9374943334115593,972525.2026779198,3.7229731075434236,1032425.0522794605,-0.2145212258681357,-13 s,STEP 2035 Planning Horizon,2026,2035,national,avgTransferMin,weighted
CH,Switzerland,CH,2.6668914528432563,691687.9034080931,2.2636387980109753,774678.521178201,-0.403252654832281,-24 s,1982-2002,1982,2002,national,avgDwellMin,weighted
CH,Switzerland,CH,2.2636387980109753,774678.521178201,2.0521713508827624,792716.7802216841,-0.21146744712821297,-13 s,Bahn 2000,2002,2005,national,avgDwellMin,weighted
CH,Switzerland,CH,2.0521713508827624,792716.7802216841,1.9127621323576571,827327.3009810151,-0.13940921852510524,-8 s,2005-2009,2005,2009,national,avgDwellMin,weighted
CH,Switzerland,CH,1.8931985121293613,845565.5875109965,1.8661791869702462,879043.8549301851,-0.027019325159115093,-2 s,2011-2014,2011,2014 Q1/2,national,avgDwellMin,weighted
CH,Switzerland,CH,1.8661791869702462,879043.8549301851,1.8127275614754665,900628.7989150693,-0.053451625494779664,-3 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,national,avgDwellMin,weighted
