StationName,Country,Region,lat,lon,MinimumTransferTime,2035lines,2026lines,2035_pop,2026_pop,2035_distributedpop,2026_distributedpop,NPVM_zone_no,NPVM_zone_municipality_code,NPVM_zone_canton,NPVM_zone_assignment,NPVM_zone_distance_m,SBB_pf_match_name,SBB_pf_match_method,SBB_pf_latest_year,SBB_pf_latest_dtv,SBB_pf_latest_dwv,SBB_pf_latest_dnwv,SBB_pf_latest_evu,SBB_pf_latest_isb_gi,SBB_dtv_2018,SBB_dwv_2018,SBB_dnwv_2018,SBB_dtv_2022,SBB_dwv_2022,SBB_dnwv_2022,SBB_dtv_2023,SBB_dwv_2023,SBB_dnwv_2023,SBB_dtv_2024,SBB_dwv_2024,SBB_dnwv_2024,SBB_dtv_2025,SBB_dwv_2025,SBB_dnwv_2025,DTV
Aadorf,CH,TG,47.48811815648,8.90330135169,2,2,2,3162,2902,3162,2902,455101001.0,4551.0,TG,within,0.0,Aadorf,exact,2025.0,1800.0,2100.0,1100.0,"SBB, Thurbo",SBB,1700.0,2000.0,1000.0,1500.0,1700.0,1100.0,1600.0,1900.0,1100.0,1600.0,1900.0,1100.0,1800.0,2100.0,1100.0,1800.0
Aarau,CH,AG,47.39135951418,8.0512737187,4,19,15,62640,57841,62640,57841,400101008.0,4001.0,AG,within,0.0,Aarau,exact,2025.0,40100.0,46600.0,25700.0,"SBB, SOB",SBB,37900.0,44800.0,22700.0,33400.0,38200.0,22000.0,37700.0,43400.0,24700.0,39000.0,45300.0,24800.0,40100.0,46600.0,25700.0,40100.0
Aarau Torfeld,CH,AG,47.39356285576,8.06263971148,2,4,4,12040,11117,12040,11117,400101013.0,4001.0,AG,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,3086.0
Aarberg,CH,BE,47.04454127726,7.27869256566,2,1,1,2771,2694,2771,2694,30101004.0,301.0,BE,within,0.0,Aarberg,exact,2025.0,560.0,610.0,440.0,BLS,SBB,620.0,690.0,470.0,520.0,580.0,400.0,580.0,620.0,460.0,600.0,650.0,470.0,560.0,610.0,440.0,560.0
Aarburg-Oftringen,CH,AG,47.32026846951,7.90822260672,2,4,3,16079,14848,16079,14848,427101006.0,4271.0,AG,within,0.0,Aarburg-Oftringen,exact,2025.0,2500.0,3000.0,1400.0,"SBB, SOB",SBB,2500.0,3000.0,1300.0,2500.0,2900.0,1500.0,2700.0,3200.0,1600.0,2800.0,3400.0,1700.0,2500.0,3000.0,1400.0,2500.0
Aareschlucht West,CH,BE,46.72124745316,8.19857711981,2,2,2,2252,2190,2252,2190,78501005.0,785.0,BE,within,0.0,Aareschlucht West,exact,2025.0,380.0,340.0,480.0,Zentralbahn,ZB,,,,210.0,180.0,280.0,240.0,200.0,310.0,320.0,320.0,300.0,380.0,340.0,480.0,380.0
Aarwangen,CH,BE,47.24087528996,7.76961920518,2,1,1,1377,1339,459,446,32101001.0,321.0,BE,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,74.0
Aarwangen Schloss,CH,BE,47.24518000242,7.76362000227,2,2,2,1377,1339,918,893,32101001.0,321.0,BE,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,316.0
Aarwangen Vorstadt,CH,BE,47.23748999384,7.77131000119,2,2,2,1857,1806,928,903,32101003.0,321.0,BE,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,318.0
Aathal,CH,ZH,47.33595913385,8.76562513535,2,2,2,3595,3351,3595,3351,11901001.0,119.0,ZH,within,0.0,Aathal,exact,2025.0,780.0,860.0,600.0,SBB,SBB,740.0,800.0,610.0,690.0,750.0,570.0,770.0,830.0,640.0,800.0,860.0,640.0,780.0,860.0,600.0,780.0
Acla da Fontauna,CH,GR,46.69717382258,8.84579085043,2,1,1,2863,2782,954,927,398201001.0,3982.0,GR,within,0.0,Acla da Fontauna,exact,2025.0,210.0,210.0,220.0,MGB,MGB,90.0,90.0,80.0,140.0,140.0,140.0,140.0,150.0,130.0,190.0,180.0,230.0,210.0,210.0,220.0,210.0
Adliswil,CH,ZH,47.312316,8.524084,2,3,3,7932,7394,7932,7394,13101007.0,131.0,ZH,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,1629.0
Aefligen,CH,BE,47.09559351074,7.55925321768,2,2,2,2418,2351,2418,2351,40101001.0,401.0,BE,within,0.0,Aefligen,exact,2025.0,420.0,490.0,270.0,BLS,BLS,410.0,490.0,230.0,470.0,510.0,380.0,410.0,480.0,250.0,410.0,480.0,270.0,420.0,490.0,270.0,420.0
Aesch BL,CH,BL,47.4677446623,7.60306821023,2,4,2,15278,14797,15278,14797,276101007.0,2761.0,BL,within,0.0,Aesch BL,exact,2025.0,8200.0,9200.0,6000.0,SBB,SBB,,,,1900.0,2100.0,1300.0,2400.0,2400.0,2400.0,2800.0,2400.0,3800.0,8200.0,9200.0,6000.0,8200.0
Affoltern am Albis,CH,ZH,47.275836,8.4462,2,4,4,5797,5404,5797,5404,201004.0,2.0,ZH,within,0.0,Affoltern am Albis,exact,2025.0,7300.0,8500.0,4700.0,SBB,SBB,6800.0,8100.0,4000.0,6400.0,7300.0,4100.0,7400.0,8200.0,5400.0,7200.0,8300.0,4700.0,7300.0,8500.0,4700.0,7300.0
Agno,CH,TI,45.99592999526,8.90091999379,2,4,4,5996,5841,5996,5841,514101001.0,5141.0,TI,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,2402.0
Aigle,CH,VD,46.31685541861,6.96368321186,2,10,10,18154,16731,18154,16731,540101007.0,5401.0,VD,within,0.0,Aigle,exact,2025.0,11500.0,12500.0,9400.0,SBB,SBB,6800.0,7700.0,5000.0,9100.0,9700.0,7700.0,10600.0,11400.0,8800.0,11200.0,11900.0,9400.0,11500.0,12500.0,9400.0,11500.0
Aigle-Château,CH,VD,46.31687170609,6.97892136109,2,1,1,9240,8516,1540,1419,540101008.0,5401.0,VD,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,144.0
Aigle-Dépôt,CH,VD,46.31828999456,6.97537000141,2,1,1,7970,7345,3985,3672,540101006.0,5401.0,VD,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,245.0
Aigle-Parc Aventure,CH,VD,46.31530000114,6.98621999412,2,1,1,9240,8516,1540,1419,540101008.0,5401.0,VD,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,144.0
Aigle-Place-du-Marché,CH,VD,46.31723999402,6.97033999545,2,2,2,9240,8516,3080,2839,540101008.0,5401.0,VD,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,555.0
Airolo,CH,TI,46.527412,8.609326,2,2,2,16532,16104,16532,16104,506101001.0,5061.0,TI,within,0.0,Airolo,exact,2025.0,580.0,540.0,670.0,"SBB, SOB",SBB,420.0,370.0,510.0,520.0,480.0,610.0,540.0,500.0,630.0,530.0,500.0,610.0,580.0,540.0,670.0,580.0
Albeuve,CH,FR,46.51793000123,7.05542000318,2,1,1,2640,2453,1320,1226,212101002.0,2121.0,FR,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,133.0
Allaman,CH,VD,46.47575352081,6.39969707975,2,4,4,10897,10043,10897,10043,585101001.0,5851.0,VD,within,0.0,Allaman,exact,2025.0,4900.0,5700.0,3000.0,SBB,SBB,3400.0,4100.0,1700.0,4100.0,4700.0,2600.0,5000.0,5800.0,2900.0,5200.0,6200.0,3100.0,4900.0,5700.0,3000.0,4900.0
Alle,CH,JU,47.42422870132,7.12824856048,2,2,2,1944,1915,1944,1915,677101001.0,6771.0,JU,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,453.0
Allières,CH,FR,46.46981999617,7.00788999711,2,1,1,2352,2185,470,437,212101001.0,2121.0,FR,within,0.0,Allières,exact,2024.0,49.0,50.0,49.0,MOB,MOB,49.0,49.0,49.0,60.0,49.0,110.0,50.0,50.0,60.0,49.0,50.0,49.0,,,,49.0
Allmend,CH,BE,46.59403315931,7.93197215378,2,2,2,26236,25513,3279,3189,58401002.0,584.0,BE,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,579.0
Alp Grüm,CH,GR,46.37474999359,10.03114000202,2,2,2,502,488,143,139,356101002.0,3561.0,GR,within,0.0,Alp Grüm,exact,2025.0,1000.0,920.0,1200.0,RhB,RhB,410.0,440.0,340.0,580.0,570.0,600.0,660.0,600.0,820.0,760.0,730.0,820.0,1000.0,920.0,1200.0,1000.0
Alpiglen,CH,BE,46.60010490378,8.00190307734,2,2,2,3756,3652,1252,1217,57601003.0,576.0,BE,within,0.0,,unmatched,,,,,,,,,,,,,,,,,,,,,,366.0
