A / S 8,an/ab,2035 alt,2035 (HH),2035,2026,2026 (HH),2026 alt
Pfäffikon SZ,ab,—,2,32,41,11,—
Freienbach SBB,an,—,—,—,43,13,—
Freienbach SBB,ab,—,—,—,43,13,—
Bäch SZ,an,—,—,—,46,16,—
Bäch SZ,ab,—,—,—,46,16,—
Richterswil,an,—,6,36,48,18,—
Richterswil,ab,—,6,36,48,18,—
Wädenswil,an,—,10,40,52,12,—
Wädenswil,ab,—,11,41,53,13,—
Au ZH,an,—,—,—,56,26,—
Au ZH,ab,—,—,—,56,26,—
Horgen,an,—,16,46,59,29,—
Horgen,ab,—,17,47,0,30,—
Oberrieden,an,—,—,—,2,32,—
Oberrieden,ab,—,—,—,2,32,—
Thalwil,an,—,21,51,5,35,—
Thalwil,ab,—,22,52,6,36,—
Rüschlikon,an,—,—,—,8,38,—
Rüschlikon,ab,—,—,—,8,38,—
Kilchberg ZH,an,—,—,—,10,40,—
Kilchberg ZH,ab,—,—,—,10,40,—
Zürich Wollishofen,an,—,—,—,14,44,—
Zürich Wollishofen,ab,—,—,—,14,44,—
Zürich Enge,an,—,28,58,17,47,—
Zürich Enge,ab,—,29,59,18,48,—
Zürich Wiedikon,an,—,—,—,19,49,—
Zürich Wiedikon,ab,—,—,—,19,49,—
Zürich HB,an,—,34,4,—,—,—
Zürich HB,ab,—,40,10,—,—,—
Zürich HB (31-34),an,—,—,—,23,53,—
Zürich HB (31-34),ab,—,—,—,25,55,—
Zürich Oerlikon,an,—,45,15,29,59,—
Zürich Oerlikon,ab,—,47,17,30,0,—
Wallisellen,an,—,—,—,33,3,—
Wallisellen,ab,—,—,—,34,4,—
Dietlikon,an,—,—,—,36,6,—
Dietlikon,ab,—,—,—,36,6,—
Zürich Flughafen,an,—,51,21,—,—,—
Zürich Flughafen,ab,—,53,23,—,—,—
Bassersdorf,an,—,57,27,—,—,—
Bassersdorf,ab,—,57,27,—,—,—
Effretikon,an,—,1,31,41,11,—
Effretikon,ab,—,4,34,42,12,—
Kemptthal,an,—,7,37,—,—,—
Kemptthal,ab,—,7,37,—,—,—
Winterthur,an,—,12,42,49,19,—
Winterthur,ab,—,14,44,—,—,—
Winterthur Grüze,an,—,16,46,—,—,—
Winterthur Grüze,ab,—,16,46,—,—,—
Winterthur Seen,an,—,22,52,—,—,—
Winterthur Seen,ab,—,23,—,—,—,—
Sennhof-Kyburg,an,—,26,—,—,—,—
Sennhof-Kyburg,ab,—,26,—,—,—,—
Kollbrunn,an,—,28,—,—,—,—
Kollbrunn,ab,—,29,—,—,—,—
Rikon,an,—,32,—,—,—,—
Rikon,ab,—,33,—,—,—,—
Turbenthal,an,—,38,—,—,—,—
Turbenthal,ab,—,49,—,—,—,—
Rikon,an,—,55,—,—,—,—
Rikon,ab,—,56,—,—,—,—
Kollbrunn,an,—,59,—,—,—,—
Kollbrunn,ab,—,59,—,—,—,—
Sennhof-Kyburg,an,—,1,—,—,—,—
Sennhof-Kyburg,ab,—,1,—,—,—,—
Winterthur Seen,an,—,5,—,—,—,—
Winterthur Seen,ab,—,8,38,—,—,—
Winterthur Grüze,an,—,10,40,—,—,—
Winterthur Grüze,ab,—,10,40,—,—,—
Winterthur,an,—,14,44,—,—,—
Winterthur,ab,—,16,46,11,41,—
Kemptthal,an,—,20,50,—,—,—
Kemptthal,ab,—,20,50,—,—,—
Effretikon,an,—,24,54,18,48,—
Effretikon,ab,—,28,58,19,49,—
Bassersdorf,an,—,32,2,—,—,—
Bassersdorf,ab,—,32,2,—,—,—
Zürich Flughafen,an,—,37,7,—,—,—
Zürich Flughafen,ab,—,39,9,—,—,—
Dietlikon,an,—,—,—,23,53,—
Dietlikon,ab,—,—,—,23,53,—
Wallisellen,an,—,—,—,26,56,—
Wallisellen,ab,—,—,—,26,56,—
Zürich Oerlikon,an,—,13,43,29,59,—
Zürich Oerlikon,ab,—,14,44,30,0,—
Zürich HB (31-34),an,—,—,—,35,5,—
Zürich HB (31-34),ab,—,—,—,37,7,—
Zürich HB,an,—,20,50,—,—,—
Zürich HB,ab,—,24,54,—,—,—
Zürich Wiedikon,an,—,—,—,39,9,—
Zürich Wiedikon,ab,—,—,—,39,9,—
Zürich Enge,an,—,30,0,42,12,—
Zürich Enge,ab,—,31,1,42,12,—
Zürich Wollishofen,an,—,—,—,44,14,—
Zürich Wollishofen,ab,—,—,—,44,14,—
Kilchberg ZH,an,—,—,—,48,18,—
Kilchberg ZH,ab,—,—,—,48,18,—
Rüschlikon,an,—,—,—,50,20,—
Rüschlikon,ab,—,—,—,50,20,—
Thalwil,an,—,37,7,53,23,—
Thalwil,ab,—,38,8,54,24,—
Oberrieden,an,—,—,—,56,26,—
Oberrieden,ab,—,—,—,56,26,—
Horgen,an,—,42,12,59,29,—
Horgen,ab,—,42,12,0,30,—
Au ZH,an,—,—,—,3,33,—
Au ZH,ab,—,—,—,3,33,—
Wädenswil,an,—,47,17,7,37,—
Wädenswil,ab,—,48,18,7,37,—
Richterswil,an,—,51,21,10,40,—
Richterswil,ab,—,51,21,10,40,—
Bäch SZ,an,—,—,—,12,42,—
Bäch SZ,ab,—,—,—,12,42,—
Freienbach SBB,an,—,—,—,15,45,—
Freienbach SBB,ab,—,—,—,15,45,—
Pfäffikon SZ,an,—,57,27,19,49,—
B / S 2,an/ab,2035 alt,2035 (HH),2035,2026,2026 (HH),2026 alt
Ziegelbrücke,ab,—,8,38,19,49,—
Reichenburg,an,—,13,43,—,—,—
Reichenburg,ab,—,13,43,—,—,—
Schübelbach-Buttikon,an,—,16,46,—,—,—
Schübelbach-Buttikon,ab,—,16,46,—,—,—
Siebnen-Wangen,an,—,20,50,28,58,—
Siebnen-Wangen,ab,—,27,57,28,58,—
Lachen SZ,an,—,30,0,31,1,—
Lachen SZ,ab,—,31,1,31,1,—
Altendorf,an,—,34,4,34,4,—
Altendorf,ab,—,35,5,34,4,—
Pfäffikon SZ,an,—,39,9,38,8,—
Pfäffikon SZ,ab,—,39,9,38,8,—
Freienbach SBB,an,—,41,11,—,—,—
Freienbach SBB,ab,—,41,11,—,—,—
Bäch SZ,an,—,44,14,—,—,—
Bäch SZ,ab,—,44,14,—,—,—
Richterswil,an,—,46,16,42,12,—
Richterswil,ab,—,46,16,42,12,—
Wädenswil,an,—,50,20,47,17,—
Wädenswil,ab,—,50,20,48,18,—
Au ZH,an,—,53,23,—,—,—
Au ZH,ab,—,53,23,—,—,—
Horgen,an,—,56,26,53,23,—
Horgen,ab,—,57,27,54,24,—
Oberrieden,an,—,59,29,—,—,—
Oberrieden,ab,—,0,30,—,—,—
Thalwil,an,—,3,33,58,28,—
Thalwil,ab,—,4,34,59,29,—
Zürich Enge,an,—,10,40,5,35,—
Zürich Enge,ab,—,11,41,6,36,—
Zürich Wiedikon,an,—,—,—,7,37,—
Zürich Wiedikon,ab,—,—,—,7,37,—
Zürich HB,an,—,17,47,—,—,—
Zürich HB,ab,—,—,—,—,—,—
Zürich HB (31-34),an,—,—,—,12,42,—
Zürich HB (31-34),ab,—,—,—,14,44,—
Zürich Oerlikon,an,—,—,—,18,48,—
Zürich Oerlikon,ab,—,—,—,19,49,—
Zürich Flughafen,an,—,—,—,24,54,—
Zürich Flughafen,ab,—,—,—,36,6,—
Zürich Oerlikon,an,—,—,—,40,10,—
Zürich Oerlikon,ab,—,—,—,41,11,—
Zürich HB (31-34),an,—,—,—,46,16,—
Zürich HB (31-34),ab,—,—,—,47,17,—
Zürich HB,an,—,—,—,—,—,—
Zürich HB,ab,—,43,13,—,—,—
Zürich Wiedikon,an,—,—,—,49,19,—
Zürich Wiedikon,ab,—,—,—,49,19,—
Zürich Enge,an,—,49,19,53,23,—
Zürich Enge,ab,—,50,20,54,24,—
Thalwil,an,—,56,26,0,30,—
Thalwil,ab,—,57,27,1,31,—
Oberrieden,an,—,59,29,—,—,—
Oberrieden,ab,—,59,29,—,—,—
Horgen,an,—,2,32,5,35,—
Horgen,ab,—,2,32,5,35,—
Au ZH,an,—,5,35,—,—,—
Au ZH,ab,—,5,35,—,—,—
Wädenswil,an,—,9,39,11,41,—
Wädenswil,ab,—,10,40,12,42,—
Richterswil,an,—,13,43,15,45,—
Richterswil,ab,—,13,43,15,45,—
Bäch SZ,an,—,15,45,—,—,—
Bäch SZ,ab,—,15,45,—,—,—
Freienbach SBB,an,—,18,48,—,—,—
Freienbach SBB,ab,—,18,48,—,—,—
Pfäffikon SZ,an,—,21,51,21,51,—
Pfäffikon SZ,ab,—,22,52,21,51,—
Altendorf,an,—,25,55,24,54,—
Altendorf,ab,—,25,55,24,54,—
Lachen SZ,an,—,28,58,27,57,—
Lachen SZ,ab,—,28,58,27,57,—
Siebnen-Wangen,an,—,32,2,31,1,—
Siebnen-Wangen,ab,—,37,7,31,1,—
