year,scenario,metric,weighted_mean_min,weighted_total_pax_min_day,positive_demand_cells,p05_min,p50_min,p95_min
2026,step3_corrected,total,27.079265347669605,54999008.01718742,2115281,3.6317180616740083,21.0,71.0
2026,step3_corrected,rolling,23.029411007878753,46773601.29204645,2115281,3.4503190519598905,18.187878787878788,59.77796247120164
2026,step3_corrected,dwell,1.9320273451287613,3924020.318863879,2115281,0.0,1.328046503064257,6.1299121133669425
2026,step3_corrected,transfer,2.1178269946620887,4301386.406277085,2115281,0.0,0.0,11.434389140271493
2026,step3_corrected,waiting,11.753783773944068,23872377.61865904,2115281,4.061552028218696,11.213110486306363,28.18149560427921
2035,step3_corrected,total,26.823766856548957,57980761.40552251,2108256,3.8325991189427304,20.1987466427932,70.99999999999999
2035,step3_corrected,rolling,22.489623931766765,48612319.30105811,2108256,3.6666666666666665,17.249534477257246,58.69270833333335
2035,step3_corrected,dwell,2.1108523263294887,4562700.896921989,2108256,0.0,1.4237459186702286,6.571428571428573
2035,step3_corrected,transfer,2.223290598452702,4805741.207542403,2108256,0.0,0.0,11.501387604070304
2035,step3_corrected,waiting,10.395456559155202,22470240.279123776,2108256,3.611816578483246,7.938127240143369,17.825854700854702
