category,rank,year,origin,destination,daily_pax,baseline_total_min,step3_total_min,saved_total_min,saved_total_sec,saved_pax_min_day,baseline_rolling_min,step3_rolling_min,baseline_dwell_min,step3_dwell_min,baseline_transfer_min,step3_transfer_min,baseline_waiting_min,step3_waiting_min,waiting_delta_min,baseline_rolling_share,step3_rolling_share,delta_rolling_share,origin_row_idx,destination_idx
largest_rolling_share_increases,1,2026,Erlen,Kradolf,0.35167,27.0,27.0,0.0,0.0,0.0,6.0,20.666666666666668,0.0,1.3333333333333333,21.0,5.000000000000001,14.829945305378303,14.829945305378303,0.0,0.2222222222222222,0.7654320987654322,0.54320987654321,382,642
largest_rolling_share_increases,2,2026,Oberaach,Kradolf,0.06971897999999999,30.0,30.000000000000004,-3.552713678800501e-15,-2.1316282072803006e-13,-2.476915739180185e-16,8.666666666666664,23.333333333333336,0.33333333333333337,1.6666666666666667,21.000000000000004,5.000000000000001,14.792321755027427,14.792321755027427,0.0,0.2888888888888888,0.7777777777777778,0.488888888888889,987,642
largest_rolling_share_increases,3,2026,Erlen,Bischofszell Nord,0.11294884000000001,31.999999999999996,31.999999999999993,3.552713678800501e-15,2.1316282072803006e-13,4.012748888726492e-16,10.666666666666663,25.333333333333325,0.3333333333333333,1.6666666666666663,21.0,4.999999999999999,14.829945305378303,14.829945305378303,0.0,0.33333333333333326,0.7916666666666666,0.45833333333333337,382,137
largest_rolling_share_increases,4,2026,Erlen,Sitterdorf,0.09309843000000001,33.99999999999999,33.99999999999999,0.0,0.0,0.0,12.333333333333332,26.999999999999996,0.6666666666666665,2.0,20.999999999999996,4.999999999999999,14.8299453053783,14.8299453053783,0.0,0.36274509803921573,0.7941176470588236,0.43137254901960786,382,1252
largest_rolling_share_increases,5,2026,Oberaach,Bischofszell Nord,0.024988379999999998,35.0,35.0,0.0,0.0,0.0,13.333333333333334,28.000000000000004,0.6666666666666666,2.0,20.999999999999996,4.999999999999999,14.792321755027423,14.792321755027423,0.0,0.380952380952381,0.8000000000000002,0.41904761904761917,987,137
largest_rolling_share_increases,6,2026,Zürich Flughafen,Zürich Seebach,28.14863203,33.0,33.0,0.0,0.0,0.0,8.0,21.694444444444446,0.0,2.3055555555555562,24.999999999999996,9.0,14.73099173553719,14.73099173553719,0.0,0.24242424242424243,0.6574074074074074,0.414983164983165,1571,1584
largest_rolling_share_increases,7,2026,Erlen,Bischofszell Stadt,0.35201192,36.0,35.99999999999999,7.105427357601002e-15,4.263256414560601e-13,2.501195126569655e-15,13.999999999999998,28.66666666666666,1.0,2.3333333333333335,21.000000000000004,5.0,14.829945305378306,14.829945305378306,0.0,0.38888888888888884,0.7962962962962963,0.40740740740740744,382,138
largest_rolling_share_increases,8,2026,Oberaach,Sitterdorf,0.02116241,37.0,37.0,0.0,0.0,0.0,14.999999999999998,29.666666666666664,1.0,2.3333333333333326,21.0,5.0,14.792321755027421,14.792321755027421,0.0,0.4054054054054054,0.8018018018018017,0.39639639639639634,987,1252
largest_rolling_share_increases,9,2026,Zürich Flughafen,Zürich Affoltern,89.2935128,35.99999999999999,36.0,-7.105427357601002e-15,-4.263256414560601e-13,-6.344685687054153e-13,10.666666666666664,24.382716049382715,0.33333333333333326,2.6172839506172836,24.999999999999996,8.999999999999998,14.730991735537188,14.730991735537188,0.0,0.2962962962962963,0.6772976680384087,0.38100137174211246,1571,1565
largest_rolling_share_increases,10,2026,Oberaach,Bischofszell Stadt,0.07924079,39.0,39.0,0.0,0.0,0.0,16.666666666666668,31.333333333333336,1.3333333333333333,2.6666666666666665,21.0,5.0,14.792321755027421,14.792321755027421,0.0,0.4273504273504274,0.8034188034188035,0.37606837606837606,987,138
largest_rolling_share_decreases,1,2026,Klus,Oberentfelden Engelplatz,7.28e-06,106.00000000000001,106.0,1.4210854715202004e-14,8.526512829121202e-13,1.0345502232667058e-19,81.39147286821706,33.33333333333334,4.608527131782945,1.6666666666666665,20.0,71.0,29.309236947791163,29.309236947791163,0.0,0.7678440836624251,0.31446540880503154,-0.4533786748573935,635,995
largest_rolling_share_decreases,2,2026,Thalbrücke,Oberentfelden Engelplatz,7.132999999999998e-05,108.00000000000001,108.0,1.4210854715202004e-14,8.526512829121202e-13,1.0136602668353587e-18,83.06818181818183,35.0,4.9318181818181825,2.0,20.0,71.0,29.253073999552875,29.253073999552875,0.0,0.7691498316498316,0.32407407407407407,-0.44507575757575757,1362,995
largest_rolling_share_decreases,3,2026,Buchli,Oberentfelden Engelplatz,2.9180000000000002e-05,109.0,109.0,0.0,0.0,0.0,84.74444444444444,36.66666666666666,5.255555555555555,2.333333333333333,18.999999999999996,70.0,29.225075528700906,29.225075528700906,0.0,0.7774719673802242,0.3363914373088684,-0.4410805300713558,187,995
largest_rolling_share_decreases,4,2026,Oberbipp,Oberentfelden Engelplatz,2.4e-05,110.0,110.0,0.0,0.0,0.0,85.42124542124542,37.33333333333334,5.5787545787545785,2.6666666666666665,19.0,70.0,29.197132616487455,29.197132616487455,0.0,0.7765567765567765,0.33939393939393947,-0.437162837162837,989,995
largest_rolling_share_decreases,5,2026,Balsthal,Oberentfelden Engelplatz,9.854e-05,110.00000000000001,110.0,1.4210854715202004e-14,8.526512829121202e-13,1.4003376236360055e-18,84.74444444444445,36.66666666666666,5.2555555555555555,2.333333333333333,20.0,71.0,29.197132616487455,29.197132616487455,0.0,0.7704040404040404,0.33333333333333326,-0.43707070707070717,72,995
largest_rolling_share_decreases,6,2026,Wiedlisbach,Oberentfelden Engelplatz,3.0339999999999998e-05,111.0,111.00000000000001,-1.4210854715202004e-14,-8.526512829121202e-13,-4.3115733205922876e-19,86.09782608695652,38.0,5.902173913043479,3.0000000000000004,19.0,70.00000000000001,29.169245431102144,29.169245431102144,0.0,0.7756560908734821,0.3423423423423423,-0.4333137485311398,1497,995
largest_rolling_share_decreases,7,2026,Attiswil,Oberentfelden Engelplatz,2.5279999999999995e-05,114.00000000000003,114.0,2.842170943040401e-14,1.7053025658242404e-12,7.185008144006132e-19,88.77192982456143,40.66666666666666,6.2280701754385985,3.3333333333333335,19.0,70.0,29.08591992802519,29.08591992802519,0.0,0.7787011388119421,0.35672514619883033,-0.4219759926131118,53,995
largest_rolling_share_decreases,8,2026,Klus,Schöftland,1.92e-06,177.0,177.0,0.0,0.0,0.0,150.0764331210191,101.99999999999999,6.923566878980891,4.0,20.0,71.0,29.26923076923077,29.26923076923077,0.0,0.8478894526611249,0.5762711864406779,-0.27161826622044705,635,1211
largest_rolling_share_decreases,9,2026,Thalbrücke,Schöftland,2.13e-05,178.99999999999997,179.0,-2.842170943040401e-14,-1.7053025658242404e-12,-6.053824108676053e-19,151.74842767295596,103.66666666666667,7.251572327044024,4.333333333333333,19.999999999999996,71.0,29.210117773019274,29.210117773019274,0.0,0.847756579178525,0.5791433891992551,-0.26861318997926986,1362,1211
largest_rolling_share_decreases,10,2026,Buchli,Schöftland,8.98e-06,180.0,180.0,0.0,0.0,0.0,153.42028985507247,105.33333333333331,7.579710144927536,4.666666666666666,19.0,70.0,29.180667202572344,29.180667202572344,0.0,0.8523349436392915,0.585185185185185,-0.2671497584541065,187,1211
largest_rolling_share_increases,1,2035,St. Gallen St. Fiden,St. Gallen Marktplatz,10.28675636,172.0,171.99999999999997,2.842170943040401e-14,1.7053025658242404e-12,2.923672002452804e-13,6.0,137.9111111111111,0.0,12.088888888888887,166.0,22.0,14.660455486542444,14.660455486542444,0.0,0.03488372093023256,0.8018087855297158,0.7669250645994833,1287,1282
largest_rolling_share_increases,2,2035,St. Gallen St. Fiden,St. Gallen Spisertor,7.416418949999999,174.0,173.99999999999997,2.842170943040401e-14,1.7053025658242404e-12,2.1078730441104195e-13,7.666666666666656,139.58552631578945,0.33333333333333337,12.414473684210526,166.0,22.0,14.653846153846155,14.653846153846155,0.0,0.04406130268199228,0.8022156684815487,0.7581543657995564,1287,1286
largest_rolling_share_increases,3,2035,Wittenbach,St. Gallen Marktplatz,1.99214879,175.0,175.0,0.0,0.0,0.0,8.666666666666655,140.5838779956427,0.3333333333333333,12.416122004357296,166.0,22.000000000000007,14.621495327102803,14.621495327102803,0.0,0.049523809523809456,0.8033364456893868,0.7538126361655774,1505,1282
largest_rolling_share_increases,4,2035,St. Gallen St. Fiden,St. Gallen Schülerhaus,3.13378736,175.99999999999997,176.0,-2.842170943040401e-14,-1.7053025658242404e-12,-8.906759376259288e-14,9.333333333333341,141.25974025974025,0.6666666666666665,12.740259740259738,165.99999999999997,22.0,14.653846153846153,14.653846153846153,0.0,0.05303030303030308,0.802612160566706,0.7495818575364029,1287,1285
largest_rolling_share_increases,5,2035,St. Gallen St. Fiden,St. Gallen Birnbäumen,1.94406297,177.0,177.0,0.0,0.0,0.0,9.999999999999998,141.93548387096774,1.0,13.064516129032254,166.0,22.0,14.653846153846155,14.653846153846155,0.0,0.05649717514124293,0.8018953891015127,0.7453982139602697,1287,1278
largest_rolling_share_increases,6,2035,Wittenbach,St. Gallen Spisertor,1.4284486599999997,177.0,177.00000000000003,-2.842170943040401e-14,-1.7053025658242404e-12,-4.059895275076996e-14,10.333333333333343,142.25806451612905,0.6666666666666667,12.741935483870972,166.0,22.000000000000004,14.614750803858522,14.614750803858522,0.0,0.05838041431261776,0.8037178786221979,0.7453374643095801,1505,1286
largest_rolling_share_increases,7,2035,St. Gallen St. Fiden,St. Gallen Notkersegg,1.8661178299999999,179.0,179.0,0.0,0.0,0.0,11.666666666666657,143.60934182590233,1.3333333333333335,13.390658174097664,166.0,21.999999999999996,14.653846153846155,14.653846153846155,0.0,0.06517690875232769,0.8022868258430298,0.7371099170907021,1287,1283
largest_rolling_share_increases,8,2035,Wittenbach,St. Gallen Schülerhaus,0.6217504499999998,179.00000000000003,179.00000000000003,0.0,0.0,0.0,12.000000000000002,143.93205944798305,1.0,13.067940552016983,166.00000000000003,22.000000000000004,14.614750803858522,14.614750803858522,0.0,0.0670391061452514,0.8040897175864974,0.737050611441246,1505,1285
largest_rolling_share_increases,9,2035,Wittenbach,St. Gallen Birnbäumen,0.39311309999999994,180.00000000000003,179.99999999999997,5.684341886080802e-14,3.410605131648481e-12,2.2345892602970704e-14,12.666666666666657,144.60759493670884,1.3333333333333333,13.39240506329114,166.00000000000003,21.999999999999996,14.614750803858522,14.614750803858522,0.0,0.0703703703703703,0.8033755274261604,0.7330051570557901,1505,1278
largest_rolling_share_increases,10,2035,Roggwil-Berg,St. Gallen Marktplatz,0.3612753799999999,181.00000000000003,181.0,2.842170943040401e-14,1.7053025658242404e-12,1.0268063874718789e-14,13.68888888888888,145.62264150943398,1.3111111111111104,13.377358490566037,166.00000000000003,22.0,14.953565830721004,14.953565830721004,0.0,0.07562922038060153,0.8045449807151048,0.7289157603345033,1113,1282
largest_rolling_share_decreases,1,2035,Zäziwil,Martigny-Bourg,6.4e-07,176.0,175.99999999999997,2.842170943040401e-14,1.7053025658242404e-12,1.8189894035458565e-20,140.0,94.44660194174755,11.0,8.553398058252425,25.0,73.0,28.83285830618893,28.83285830618893,0.0,0.7954545454545454,0.5366284201235657,-0.2588261253309797,1550,857
largest_rolling_share_decreases,2,2035,Zäziwil,Martigny-Croix,6e-07,179.0,178.99999999999997,2.842170943040401e-14,1.7053025658242404e-12,1.7053025658242404e-20,142.0,96.45911949685532,12.0,9.540880503144654,25.0,73.0,28.83285830618892,28.83285830618892,0.0,0.7932960893854749,0.5388777625522645,-0.2544183268332104,1550,858
largest_rolling_share_decreases,3,2035,Signau,Martigny-Bourg,6.4e-07,183.00000000000003,183.0,2.842170943040401e-14,1.7053025658242404e-12,1.8189894035458565e-20,146.37974683544306,100.81515151515153,11.620253164556962,9.184848484848484,25.0,73.0,28.63484682713348,28.63484682713348,0.0,0.7998893269696341,0.55090246729591,-0.24898685967372414,1233,857
largest_rolling_share_decreases,4,2035,Zäziwil,Bovernier,6e-07,183.0,183.0,0.0,0.0,0.0,145.69198312236287,100.14545454545454,12.308016877637131,9.854545454545455,25.0,73.0,28.83285830618892,28.83285830618892,0.0,0.7961310553134583,0.5472429210134128,-0.24888813430004553,1550,165
largest_rolling_share_decreases,5,2035,Signau,Martigny-Croix,6e-07,186.00000000000003,186.0,2.842170943040401e-14,1.7053025658242404e-12,1.7053025658242404e-20,148.38302277432715,102.83185840707965,12.616977225672876,10.168141592920353,25.0,73.0,28.634846827133476,28.634846827133476,0.0,0.797758186958748,0.5528594538015035,-0.24489873315724453,1233,858
largest_rolling_share_decreases,6,2035,Signau,Bovernier,6e-07,189.99999999999997,189.99999999999997,0.0,0.0,0.0,152.07272727272724,106.51566951566949,12.927272727272726,10.484330484330481,25.0,73.0,28.634846827133476,28.634846827133476,0.0,0.8003827751196172,0.5606087869245763,-0.23977398819504092,1233,165
largest_rolling_share_decreases,7,2035,Zäziwil,Sembrancher,3.3e-07,189.99999999999997,190.0,-2.842170943040401e-14,-1.7053025658242404e-12,-9.379164112033323e-21,151.69292929292928,106.15384615384616,13.307070707070705,10.846153846153847,25.0,73.0,28.832858306188925,28.832858306188925,0.0,0.7983838383838384,0.5587044534412956,-0.23967938494254282,1550,1219
largest_rolling_share_decreases,8,2035,Bowil,Sembrancher,3.3e-07,193.0,193.00000000000003,-2.842170943040401e-14,-1.7053025658242404e-12,-9.379164112033323e-21,154.38492063492063,108.8416666666667,13.615079365079367,11.158333333333333,25.0,73.0,28.747549019607845,28.747549019607845,0.0,0.7999218685747183,0.5639464594127808,-0.2359754091619375,166,1219
largest_rolling_share_decreases,9,2035,Zäziwil,Etiez,5.1e-07,192.99999999999997,193.0,-2.842170943040401e-14,-1.7053025658242404e-12,-1.4495071809506043e-20,153.69444444444443,108.16666666666667,14.305555555555555,11.833333333333336,25.0,72.99999999999999,28.83285830618893,28.83285830618893,0.0,0.7963442717328728,0.5604490500863558,-0.235895221646517,1550,391
largest_rolling_share_decreases,10,2035,Signau,Sembrancher,6.5e-07,197.0,196.99999999999994,5.684341886080802e-14,3.410605131648481e-12,3.694822225952521e-20,158.07558139534885,112.52688172043007,13.924418604651164,11.47311827956989,25.000000000000004,73.0,28.63484682713348,28.63484682713348,0.0,0.802414118758116,0.5712024452813711,-0.23121167347674487,1233,1219
