level,year,version,code,name,canton,originCount,totalWeight,avgTotalMin,avgRollingMin,avgDwellMin,avgTransferMin,avgWaitingMin,rollingPct,dwellPct,transferPct,cellsWithDemand,pathsWithDemand
station,2026,v0,Aadorf,Aadorf,TG,1,910.566509,29.47993,23.816099,2.622821,3.04101,14.747688,80.787502,8.896973,10.315525,1538,5381
canton,2026,v0,TG,TG,TG,76,38146.270531,30.146234,25.269528,2.389826,2.486879,13.205231,83.823168,7.927446,8.249386,105354,364598
municipality,2026,v0,4551,Aadorf,TG,2,1102.796569,29.355303,23.732373,2.610909,3.012021,14.779184,80.845267,8.894165,10.260568,2988,10524
station,2026,v0,Aarau,Aarau,AG,1,11955.779636,27.406378,23.348445,1.711602,2.346331,11.095955,85.193472,6.245271,8.561258,1582,5948
canton,2026,v0,AG,AG,AG,95,117613.234364,28.027172,22.797947,2.099652,3.129573,12.300264,81.342303,7.491487,11.16621,141010,482314
municipality,2026,v0,4001,Aarau,AG,4,17735.342547,26.263792,21.303454,1.968195,2.992143,11.797582,81.113398,7.493949,11.392653,6227,22377
station,2026,v0,Aarau Torfeld,Aarau Torfeld,AG,1,1799.494386,27.456196,19.286753,2.69604,5.473403,13.438778,70.24554,9.819421,19.935038,1556,5203
station,2026,v0,Aarberg,Aarberg,BE,1,281.27518,30.608677,23.286589,1.415251,5.906837,23.149522,76.078392,4.623693,19.297915,1506,4082
canton,2026,v0,BE,BE,BE,280,288602.000026,27.673516,23.395173,1.866013,2.41233,13.010757,84.539939,6.742956,8.717105,400401,1247653
municipality,2026,v0,301,Aarberg,BE,1,281.27518,30.608677,23.286589,1.415251,5.906837,23.149522,76.078392,4.623693,19.297915,1506,4082
station,2026,v0,Aarburg-Oftringen,Aarburg-Oftringen,AG,1,1250.959187,27.780132,21.381143,1.357053,5.041936,13.96486,76.965591,4.884978,18.149432,1561,5919
municipality,2026,v0,4271,Aarburg,AG,1,1250.959187,27.780132,21.381143,1.357053,5.041936,13.96486,76.965591,4.884978,18.149432,1561,5919
station,2026,v0,Aareschlucht West,Aareschlucht West,BE,1,190.853422,10.067144,8.089751,0.650906,1.326487,15.027257,80.357953,6.465651,13.176397,1199,4006
municipality,2026,v0,785,Meiringen,BE,4,2533.517553,29.084125,25.283552,2.75793,1.042643,19.85527,86.932482,9.482596,3.584922,5103,15378
station,2026,v0,Aarwangen,Aarwangen,BE,1,37.054817,35.316511,26.733607,2.583476,5.999428,15.461371,75.697191,7.315207,16.987602,1378,4581
municipality,2026,v0,321,Aarwangen,BE,4,380.382294,34.528319,25.794887,2.192218,6.541214,15.231385,74.706467,6.349043,18.94449,5843,19677
station,2026,v0,Aarwangen Schloss,Aarwangen Schloss,BE,1,116.820014,37.843999,29.286048,2.764855,5.793096,15.026235,77.38624,7.305927,15.307834,1467,5006
station,2026,v0,Aarwangen Vorstadt,Aarwangen Vorstadt,BE,1,112.577724,32.743954,23.868232,1.920345,6.955378,15.444819,72.893554,5.86473,21.241716,1499,5045
station,2026,v0,Aathal,Aathal,ZH,1,393.495026,28.823595,22.003585,2.864513,3.955496,12.365721,76.338796,9.938085,13.723119,1518,5626
canton,2026,v0,ZH,ZH,ZH,170,615181.734958,25.166734,20.646445,1.958258,2.562031,9.574861,82.038633,7.781138,10.180229,256788,929385
municipality,2026,v0,119,Seegräben,ZH,1,393.495026,28.823595,22.003585,2.864513,3.955496,12.365721,76.338796,9.938085,13.723119,1518,5626
station,2026,v0,Acla da Fontauna,Acla da Fontauna,GR,1,105.486077,13.101908,11.708348,0.984785,0.408775,29.349589,89.363684,7.516347,3.119969,653,1454
canton,2026,v0,GR,GR,GR,106,54810.371469,30.264945,26.976851,2.138301,1.149794,17.88266,89.135635,7.065272,3.799093,99928,286483
municipality,2026,v0,3982,Disentis/Mustér,GR,4,1228.251701,31.725498,27.435238,3.811598,0.478662,29.274768,86.476934,12.014306,1.50876,2818,6267
station,2026,v0,Adliswil,Adliswil,ZH,1,810.736038,29.862884,21.0697,2.56315,6.230033,12.613305,70.554807,8.583064,20.862129,1490,5476
municipality,2026,v0,131,Adliswil,ZH,3,2100.630972,30.077368,21.304052,2.556467,6.216849,12.607245,70.830838,8.499637,20.669525,4462,16408
station,2026,v0,Aefligen,Aefligen,BE,1,210.966936,31.769887,23.78175,3.491688,4.496449,15.104793,74.856262,10.990559,14.153179,1491,5448
municipality,2026,v0,401,Aefligen,BE,1,210.966936,31.769887,23.78175,3.491688,4.496449,15.104793,74.856262,10.990559,14.153179,1491,5448
station,2026,v0,Aesch BL,Aesch BL,BL,1,4119.038051,16.748514,14.042307,1.876742,0.829466,14.732973,83.842102,11.205422,4.952476,1561,5348
canton,2026,v0,BL,BL,BL,21,34085.715749,21.559836,18.616362,1.47085,1.472625,11.163351,86.347418,6.822175,6.830407,31525,103312
municipality,2026,v0,2761,Aesch (BL),BL,1,4119.038051,16.748514,14.042307,1.876742,0.829466,14.732973,83.842102,11.205422,4.952476,1561,5348
station,2026,v0,Affoltern am Albis,Affoltern am Albis,ZH,1,3682.793496,35.862006,29.195359,2.813161,3.853487,11.170156,81.410278,7.844404,10.745318,1569,5759
municipality,2026,v0,2,Affoltern am Albis,ZH,1,3682.793496,35.862006,29.195359,2.813161,3.853487,11.170156,81.410278,7.844404,10.745318,1569,5759
station,2026,v0,Agno,Agno,TI,1,739.554004,11.551174,9.898901,1.247666,0.404606,12.657366,85.696063,10.801208,3.502729,871,2874
canton,2026,v0,TI,TI,TI,54,63749.521992,21.481667,19.120081,1.431144,0.930443,11.483936,89.006504,6.662163,4.331333,56394,153186
municipality,2026,v0,5141,Agno,TI,2,1313.582344,10.977788,9.380134,1.184729,0.412925,12.616073,85.446484,10.792057,3.761459,1692,5628
