year,level,ranking,rank,code,name,canton,delta_total_sec,delta_total_pax_min_day,totalWeight
2026,canton,largest_improvements,1,TI,TI,TI,-28.311600000000183,-30080.849447145316,63749.521992
2026,canton,largest_improvements,2,JU,JU,JU,-9.488460000000032,-1202.575305468405,7604.449861
2026,canton,largest_improvements,3,GE,GE,GE,-3.5256600000000304,-4810.364721130784,81863.220863
2026,canton,largest_improvements,4,NE,NE,NE,-2.987580000000065,-1345.6848843940013,27025.583604
2026,canton,largest_improvements,5,BS,BS,BS,-2.9779800000000023,-2586.2231858140776,52106.928572
2026,canton,largest_improvements,6,AG,AG,AG,-2.2806600000000543,-4470.596651410111,117613.234364
2026,canton,largest_improvements,7,TG,TG,TG,-2.042160000000024,-1298.3464637931313,38146.270531
2026,canton,largest_improvements,8,LU,LU,LU,-1.7367000000000132,-2600.9026295396748,89856.715479
2026,canton,largest_improvements,9,ZH,ZH,ZH,-1.6687800000001118,-17110.049594388,615181.734958
2026,canton,largest_improvements,10,VS,VS,VS,-1.609680000000111,-1874.1504432358054,69858.000717
2026,canton,largest_deteriorations,1,OW,OW,OW,0.9684600000000643,112.22839574267645,6953.001409
2026,canton,largest_deteriorations,2,UR,UR,UR,0.057599999999951024,5.6795742566351715,5916.223184
2026,canton,largest_deteriorations,3,AI,AI,AI,0.05052000000013379,1.15170888660505,1367.825281
2026,canton,largest_deteriorations,4,GL,GL,GL,-0.06425999999976284,-6.206169533422096,5794.742795
2026,canton,largest_deteriorations,5,SH,SH,SH,-0.1386599999999305,-35.29510614638331,15272.655191
2026,canton,largest_deteriorations,6,GR,GR,GR,-0.16776000000000124,-153.24979862732513,54810.371469
2026,canton,largest_deteriorations,7,ZG,ZG,ZG,-0.16860000000001207,-92.68919814808663,32985.479768
2026,canton,largest_deteriorations,8,SZ,SZ,SZ,-0.2606399999997677,-122.02965322640325,28091.540798
2026,canton,largest_deteriorations,9,SO,SO,SO,-0.2954399999999424,-266.1817329789921,54058.028631
2026,canton,largest_deteriorations,10,AR,AR,AR,-0.35640000000014993,-35.389933698254886,5957.901296
2026,municipality,largest_improvements,1,4203,Möriken-Wildegg,AG,-84.4662599999998,-1008.7679028041887,716.571021
2026,municipality,largest_improvements,2,5192,Lugano,TI,-74.50673999999985,-18937.942188877827,15250.654254
2026,municipality,largest_improvements,3,785,Meiringen,BE,-46.68054000000005,-1971.0994578919792,2533.517553
2026,municipality,largest_improvements,4,5210,Paradiso,TI,-39.22535999999987,-796.2062113441852,1217.895073
2026,municipality,largest_improvements,5,700,700,BE,-36.8197200000003,-777.9220287004803,1267.671827
2026,municipality,largest_improvements,6,5002,Bellinzona,TI,-35.27927999999996,-6839.8470342442,11632.630316
2026,municipality,largest_improvements,7,5198,Melide,TI,-34.94622000000014,-350.82677475662837,602.342871
2026,municipality,largest_improvements,8,5240,Val Mara,TI,-29.273220000000038,-244.8958378600683,501.951964
2026,municipality,largest_improvements,9,5189,Lamone,TI,-27.455759999999927,-390.467617684487,853.302078
2026,municipality,largest_improvements,10,52,Bassersdorf,ZH,-22.22159999999988,-1057.8552358906743,2856.289113
2026,municipality,largest_deteriorations,1,6634,Pregny-Chambésy,GE,61.707180000000044,569.9656937407194,554.197123
2026,municipality,largest_deteriorations,2,6606,Bellevue,GE,59.24225999999997,994.9039772166875,1007.629328
2026,municipality,largest_deteriorations,3,6622,Genthod,GE,55.65642000000011,1135.6402540327892,1224.268741
2026,municipality,largest_deteriorations,4,6644,Versoix,GE,51.689460000000054,3862.86476759998,4483.929336
2026,municipality,largest_deteriorations,5,5723,Mies,VD,46.86366000000007,335.37054830579746,429.378177
2026,municipality,largest_deteriorations,6,5729,Tannay,VD,45.66492000000011,215.29740827981453,282.883327
2026,municipality,largest_deteriorations,7,6413,Rochefort,NE,20.498280000000193,147.2448215553714,430.996615
2026,municipality,largest_deteriorations,8,573,Brienz (BE),BE,20.359979999999993,511.2656190492809,1506.678157
2026,municipality,largest_deteriorations,9,5712,Coppet,VD,17.7636600000001,1013.8907620218688,3424.600883
2026,municipality,largest_deteriorations,10,496,Ins,BE,10.163820000000001,160.78773593020603,949.176998
2026,station,largest_improvements,1,Wildegg,Wildegg,AG,-84.4662599999998,-1008.7679028041887,716.571021
2026,station,largest_improvements,2,Lugano,Lugano,TI,-74.50673999999985,-18937.942188877827,15250.654254
2026,station,largest_improvements,3,Meiringen,Meiringen,BE,-62.802839999999875,-2073.602119996158,1981.058933
2026,station,largest_improvements,4,Bellinzona,Bellinzona,TI,-41.22341999999996,-6673.390482358608,9713.008502
2026,station,largest_improvements,5,Paradiso,Paradiso,TI,-39.22535999999987,-796.2062113441852,1217.895073
2026,station,largest_improvements,6,Moutier,Moutier,BE,-36.8197200000003,-777.9220287004803,1267.671827
2026,station,largest_improvements,7,Melide,Melide,TI,-34.94622000000014,-350.82677475662837,602.342871
2026,station,largest_improvements,8,Maroggia-Melano,Maroggia-Melano,TI,-29.273220000000038,-244.8958378600683,501.951964
2026,station,largest_improvements,9,Lamone-Cadempino,Lamone-Cadempino,TI,-27.455759999999927,-390.467617684487,853.302078
2026,station,largest_improvements,10,Morges-St-Jean,Morges-St-Jean,VD,-25.72794000000009,-114.79740021115839,267.718442
2026,station,largest_deteriorations,1,Genève-Sécheron,Genève-Sécheron,GE,67.27164000000005,1525.1627029473973,1360.302234
2026,station,largest_deteriorations,2,Chambésy,Chambésy,GE,61.707180000000044,569.9656937407194,554.197123
2026,station,largest_deteriorations,3,Les Tuileries,Les Tuileries,GE,59.24225999999997,994.9039772166875,1007.629328
2026,station,largest_deteriorations,4,Genthod-Bellevue,Genthod-Bellevue,GE,56.496780000000015,853.9165474399083,906.865716
2026,station,largest_deteriorations,5,Creux-de-Genthod,Creux-de-Genthod,GE,53.25504000000002,281.72184654160014,317.403025
2026,station,largest_deteriorations,6,Versoix,Versoix,GE,52.36512000000012,2066.6058615555885,2367.918792
2026,station,largest_deteriorations,7,Pont-Céard,Pont-Céard,GE,50.95866000000001,1797.1510311351844,2116.010544
2026,station,largest_deteriorations,8,Mies,Mies,VD,46.86366000000007,335.37054830579746,429.378177
2026,station,largest_deteriorations,9,Tannay,Tannay,VD,45.66492000000011,215.29740827981453,282.883327
2026,station,largest_deteriorations,10,Chambrelien,Chambrelien,NE,22.922460000000058,147.2450976251644,385.417004
2035,canton,largest_improvements,1,SO,SO,SO,-25.43291999999994,-23828.57178318223,56215.106523
2035,canton,largest_improvements,2,GR,GR,GR,-8.383620000000036,-7787.761446638087,55735.551802
2035,canton,largest_improvements,3,BS,BS,BS,-7.795259999999757,-7055.44197999311,54305.63173
2035,canton,largest_improvements,4,TG,TG,TG,-5.046359999999908,-3518.1318706351854,41829.737125
2035,canton,largest_improvements,5,SG,SG,SG,-4.180979999999863,-7471.28497524093,107218.187725
2035,canton,largest_improvements,6,SZ,SZ,SZ,-3.4141799999999023,-1739.8410103898173,30575.558589
2035,canton,largest_improvements,7,BE,BE,BE,-3.0064799999998826,-14938.494031240269,298125.928619
2035,canton,largest_improvements,8,ZH,ZH,ZH,-2.7298199999998474,-29841.56131268186,655901.736657
2035,canton,largest_improvements,9,VS,VS,VS,-2.517299999999878,-3152.909889207447,75149.80072
2035,canton,largest_improvements,10,GE,GE,GE,-1.9612199999999547,-2914.100077982676,89151.652889
2035,canton,largest_deteriorations,1,NW,NW,NW,0.8135399999998327,98.58661828167673,7270.935783
2035,canton,largest_deteriorations,2,OW,OW,OW,0.5021400000001108,60.032974434244245,7173.255399
