selection_order,year,line,delta_min,section_from_station,section_departure_time_mod120,section_departure_time_new_mod120,section_to_station,section_arrival_time_mod120,section_arrival_time_new_mod120,marginal_net_pax_minutes,marginal_gross_gain_pax_minutes,marginal_gross_loss_pax_minutes,status,reason,matched_cells,changed_cells,physical_shift_id,source_candidate_ids
1,2035,IC 61,-4,Olten,01:31,01:27,Bern,01:58,01:54,1650.351947,5357.417673,3707.065727,accepted,,2,2,2035|physical|IC 61|-4|Olten|01:31|Bern|01:58,2035|00246|shift_arrival_line_earlier|IC 61|-4|Olten|01:31|Bern|01:58; 2035|03253|shift_departure_line_earlier|IC 61|-4|Olten|01:31|Bern|01:58
2,2035,IC 1,-2,Fribourg/Freiburg,00:36,00:34,Bern,00:56,00:54,3542.892544,5704.48881,2161.596266,accepted,,4,4,2035|physical|IC 1|-2|Fribourg/Freiburg|00:36|Bern|00:56,2035|00115|shift_arrival_line_earlier|IC 1|-2|Fribourg/Freiburg|00:36|Bern|00:56; 2035|07268|shift_departure_line_earlier|IC 1|-2|Fribourg/Freiburg|00:36|Bern|00:56
8,2035,IC 61,-2,Thun,01:37,01:35,Bern,01:56,01:54,1950.030814,2946.829457,996.798643,accepted,,2,2,2035|physical|IC 61|-2|Thun|01:37|Bern|01:56,2035|00636|shift_arrival_line_earlier|IC 61|-2|Thun|01:37|Bern|01:56
9,2035,IC 61,2,Bern,01:04,01:06,Thun,01:22,01:24,1792.212124,2659.643124,867.431,accepted,,2,2,2035|physical|IC 61|2|Bern|01:04|Thun|01:22,2035|01869|shift_departure_line_later|IC 61|2|Bern|01:04|Thun|01:22
10,2035,IC 82,-1,Zofingen,01:32,01:31,Bern,00:00,01:59,1714.833273,1832.980536,118.147263,accepted,,2,2,2035|physical|IC 82|-1|Zofingen|01:32|Bern|00:00,2035|14484|shift_arrival_line_earlier|IC 82|-1|Zofingen|01:32|Bern|00:00
11,2026,IC 1,2,Zürich Oerlikon,01:44,01:46,Zürich Flughafen,01:49,01:51,1416.356619,3111.14504,1694.788421,accepted,,2,2,2026|physical|IC 1|2|Zürich Oerlikon|01:44|Zürich Flughafen|01:49,2026|01314|shift_departure_line_later|IC 1|2|Zürich Oerlikon|01:44|Zürich Flughafen|01:49
13,2035,IC 5,1,Biel/Bienne,00:15,00:16,Neuchâtel,00:33,00:34,39.373823,522.369953,482.99613,accepted,,2,2,2035|physical|IC 5|1|Biel/Bienne|00:15|Neuchâtel|00:33,2035|04985|shift_departure_line_later|IC 5|1|Biel/Bienne|00:15|Neuchâtel|00:33
14,2035,S 14,1,Aarau,01:24,01:25,Binzenhof,01:25,01:26,373.533116,1007.2579,633.724784,accepted,,2,2,2035|physical|S 14|1|Aarau|01:24|Binzenhof|01:25,2035|06821|shift_departure_line_later|S 14|1|Aarau|01:24|Binzenhof|01:25
15,2035,S 14,1,Aarau,00:54,00:55,Binzenhof,00:55,00:56,325.577879,906.53211,580.954231,accepted,,2,2,2035|physical|S 14|1|Aarau|00:54|Binzenhof|00:55,2035|07412|shift_departure_line_later|S 14|1|Aarau|00:54|Binzenhof|00:55
16,2035,IC 3,-2,Sargans,01:28,01:26,Zürich HB,00:22,00:20,212.900094,504.32251,291.422417,accepted,,2,2,2035|physical|IC 3|-2|Sargans|01:28|Zürich HB|00:22,2035|07200|shift_departure_line_earlier|IC 3|-2|Sargans|01:28|Zürich HB|00:22; 2035|10894|shift_arrival_line_earlier|IC 3|-2|Sargans|01:28|Zürich HB|00:22
